Time,rain_ERA5_4km,FAIRBANKS INTL AP,month
1990-01-01,0.000,0.000,Jan
1990-01-02,0.001,0.000,Jan
1990-01-03,0.001,0.000,Jan
1990-01-04,0.000,0.000,Jan
1990-01-05,0.001,0.025,Jan
1990-01-06,0.000,0.000,Jan
1990-01-07,0.082,0.330,Jan
1990-01-08,0.070,0.025,Jan
1990-01-09,0.011,0.025,Jan
1990-01-10,0.000,0.000,Jan
1990-01-11,0.026,0.025,Jan
1990-01-12,0.020,0.025,Jan
1990-01-13,0.017,0.000,Jan
1990-01-14,0.089,0.178,Jan
1990-01-15,0.073,0.102,Jan
1990-01-16,0.136,0.203,Jan
1990-01-17,0.136,0.229,Jan
1990-01-18,0.144,0.102,Jan
1990-01-19,0.039,0.025,Jan
1990-01-20,0.004,0.000,Jan
1990-01-21,0.002,0.000,Jan
1990-01-22,0.001,0.025,Jan
1990-01-23,0.075,0.025,Jan
1990-01-24,0.010,0.152,Jan
1990-01-25,0.002,0.025,Jan
1990-01-26,0.000,0.025,Jan
1990-01-27,0.000,0.000,Jan
1990-01-28,0.000,0.000,Jan
1990-01-29,0.000,0.000,Jan
1990-01-30,0.000,0.000,Jan
1990-01-31,0.000,0.000,Jan
1990-02-01,0.000,0.000,Feb
1990-02-02,0.000,0.000,Feb
1990-02-03,0.000,0.025,Feb
1990-02-04,0.000,0.000,Feb
1990-02-05,0.008,0.025,Feb
1990-02-06,0.041,0.076,Feb
1990-02-07,0.004,0.025,Feb
1990-02-08,0.000,0.000,Feb
1990-02-09,0.000,0.025,Feb
1990-02-10,0.001,0.025,Feb
1990-02-11,0.001,0.000,Feb
1990-02-12,0.000,0.000,Feb
1990-02-13,0.384,0.635,Feb
1990-02-14,0.027,0.025,Feb
1990-02-15,0.005,0.000,Feb
1990-02-16,0.325,0.483,Feb
1990-02-17,0.005,0.025,Feb
1990-02-18,0.004,0.025,Feb
1990-02-19,0.005,0.025,Feb
1990-02-20,0.000,0.000,Feb
1990-02-21,0.000,0.000,Feb
1990-02-22,0.000,0.000,Feb
1990-02-23,0.009,0.076,Feb
1990-02-24,0.256,0.178,Feb
1990-02-25,0.000,0.000,Feb
1990-02-26,0.108,0.178,Feb
1990-02-27,0.121,0.152,Feb
1990-02-28,0.003,0.000,Feb
1990-03-01,0.002,0.000,Mar
1990-03-02,0.028,0.000,Mar
1990-03-03,0.021,0.025,Mar
1990-03-04,0.115,0.051,Mar
1990-03-05,0.057,0.025,Mar
1990-03-06,0.079,0.025,Mar
