,rain_ERA5_12km,FAIRBANKS INTL AP,month
1980-01-01,0.000,0.000,Jan
1980-01-02,0.000,0.000,Jan
1980-01-03,0.001,0.000,Jan
1980-01-04,0.000,0.000,Jan
1980-01-05,0.270,0.686,Jan
1980-01-06,0.124,0.076,Jan
1980-01-07,0.008,0.025,Jan
1980-01-08,0.011,0.025,Jan
1980-01-09,0.000,0.025,Jan
1980-01-10,0.000,0.025,Jan
1980-01-11,0.000,0.000,Jan
1980-01-12,0.000,0.000,Jan
1980-01-13,0.000,0.000,Jan
1980-01-14,0.000,0.000,Jan
1980-01-15,0.016,0.076,Jan
1980-01-16,0.003,0.025,Jan
1980-01-17,0.063,0.076,Jan
1980-01-18,0.000,0.000,Jan
1980-01-19,0.005,0.000,Jan
1980-01-20,0.010,0.000,Jan
1980-01-21,0.087,0.000,Jan
1980-01-22,0.228,0.102,Jan
1980-01-23,0.014,0.025,Jan
1980-01-24,0.001,0.000,Jan
1980-01-25,0.000,0.000,Jan
1980-01-26,0.000,0.000,Jan
1980-01-27,0.204,0.279,Jan
1980-01-28,0.020,0.025,Jan
1980-01-29,0.001,0.025,Jan
1980-01-30,0.000,0.000,Jan
1980-01-31,0.007,0.025,Jan
1980-02-01,0.368,0.432,Feb
1980-02-02,0.006,0.000,Feb
1980-02-03,0.010,0.000,Feb
1980-02-04,0.008,0.000,Feb
1980-02-05,0.000,0.000,Feb
1980-02-06,0.007,0.000,Feb
1980-02-07,0.017,0.000,Feb
1980-02-08,0.001,0.000,Feb
1980-02-09,0.003,0.000,Feb
1980-02-10,0.009,0.000,Feb
1980-02-11,0.016,0.000,Feb
1980-02-12,0.014,0.000,Feb
1980-02-13,0.001,0.000,Feb
1980-02-14,0.001,0.000,Feb
1980-02-15,0.002,0.000,Feb
1980-02-16,0.002,0.000,Feb
1980-02-17,0.001,0.000,Feb
1980-02-18,0.000,0.000,Feb
1980-02-19,0.000,0.000,Feb
1980-02-20,0.000,0.000,Feb
1980-02-21,0.000,0.000,Feb
1980-02-22,0.000,0.000,Feb
1980-02-23,0.003,0.000,Feb
1980-02-24,0.004,0.000,Feb
1980-02-25,0.003,0.000,Feb
1980-02-26,0.009,0.025,Feb
1980-02-27,0.008,0.102,Feb
1980-02-28,0.005,0.025,Feb
1980-02-29,0.000,0.000,Feb
1980-03-01,0.000,0.000,Mar
1980-03-02,0.000,0.000,Mar
1980-03-03,0.000,0.000,Mar
1980-03-04,0.000,0.000,Mar
1980-03-05,0.002,0.000,Mar
1980-03-06,0.006,0.000,Mar
1980-03-07,0.005,0.000,Mar
1980-03-08,0.037,0.051,Mar
1980-03-09,0.104,0.102,Mar
1980-03-10,0.055,0.102,Mar
1980-03-11,0.047,0.076,Mar
1980-03-12,0.017,0.025,Mar
1980-03-13,0.005,0.025,Mar
1980-03-14,0.002,0.025,Mar
1980-03-15,0.069,0.000,Mar
1980-03-16,0.005,0.000,Mar
1980-03-17,0.001,0.000,Mar
1980-03-18,0.010,0.000,Mar
1980-03-19,0.007,0.000,Mar
1980-03-20,0.006,0.000,Mar
1980-03-21,0.030,0.025,Mar
1980-03-22,0.011,0.000,Mar
1980-03-23,0.002,0.000,Mar
1980-03-24,0.000,0.000,Mar
1980-03-25,0.001,0.000,Mar
1980-03-26,0.003,0.000,Mar
1980-03-27,0.001,0.000,Mar
1980-03-28,0.001,0.000,Mar
1980-03-29,0.002,0.000,Mar
1980-03-30,0.003,0.000,Mar
1980-03-31,0.009,0.000,Mar
1980-04-01,0.001,0.000,Apr
1980-04-02,0.024,0.000,Apr
1980-04-03,0.002,0.000,Apr
1980-04-04,0.000,0.000,Apr
1980-04-05,0.000,0.000,Apr
1980-04-06,0.000,0.000,Apr
1980-04-07,0.000,0.000,Apr
1980-04-08,0.000,0.000,Apr
